LDC_ent_001,BAL,n/a,n/a
LDC_ent_002,BAL,BallotSlate,BallotSlate
LDC_ent_003,BAL,PaperBallot,PaperBallot
LDC_ent_004,COM,n/a,n/a
LDC_ent_005,COM,Document,n/a
LDC_ent_006,COM,Document,Map
LDC_ent_007,COM,Document,PersonalIdentification
LDC_ent_008,COM,Equipment,n/a
LDC_ent_009,COM,Equipment,HumanitarianAid
LDC_ent_010,COM,Equipment,MedicalEquipment
LDC_ent_011,COM,Equipment,MilitaryEquipment
LDC_ent_012,COM,Equipment,Satellite
LDC_ent_013,COM,Flag,Flag
LDC_ent_014,COM,Wreckage,Wreckage
LDC_ent_015,CRM,n/a,n/a
LDC_ent_016,CRM,BehaviorCrime,n/a
LDC_ent_017,CRM,BehaviorCrime,FailToAssist
LDC_ent_018,CRM,BehaviorCrime,OrganizedCrime
LDC_ent_019,CRM,FinancialCrime,n/a
LDC_ent_020,CRM,FinancialCrime,Extortion
LDC_ent_021,CRM,FinancialCrime,Forgery
LDC_ent_022,CRM,FinancialCrime,Fraud
LDC_ent_023,CRM,PoliticalCrime,n/a
LDC_ent_024,CRM,PoliticalCrime,AbuseOfOffice
LDC_ent_025,CRM,PoliticalCrime,PoliceMisconduct
LDC_ent_026,CRM,ViolentCrime,n/a
LDC_ent_027,CRM,ViolentCrime,Terrorism
LDC_ent_028,FAC,n/a,n/a
LDC_ent_029,FAC,Building,n/a
LDC_ent_030,FAC,Building,ApartmentBuilding
LDC_ent_031,FAC,Building,GovernmentBuilding
LDC_ent_032,FAC,Building,House
LDC_ent_033,FAC,Building,OfficeBuilding
LDC_ent_034,FAC,Building,School
LDC_ent_035,FAC,Building,StoreShop
LDC_ent_036,FAC,Building,VotingFacility
LDC_ent_037,FAC,GeographicalArea,n/a
LDC_ent_038,FAC,GeographicalArea,Border
LDC_ent_039,FAC,GeographicalArea,Checkpoint
LDC_ent_040,FAC,Installation,n/a
LDC_ent_041,FAC,Installation,Airport
LDC_ent_042,FAC,Installation,MilitaryInstallation
LDC_ent_043,FAC,Installation,TrainStation
LDC_ent_044,FAC,Structure,n/a
LDC_ent_045,FAC,Structure,Barricade
LDC_ent_046,FAC,Structure,Bridge
LDC_ent_047,FAC,Structure,Plaza
LDC_ent_048,FAC,Structure,Tower
LDC_ent_049,FAC,Way,n/a
LDC_ent_050,FAC,Way,Highway
LDC_ent_051,FAC,Way,Street
LDC_ent_052,GPE,n/a,n/a
LDC_ent_053,GPE,Country,Country
LDC_ent_054,GPE,OrganizationOfCountries,OrganizationOfCountries
LDC_ent_055,GPE,ProvinceState,ProvinceState
LDC_ent_056,GPE,UrbanArea,n/a
LDC_ent_057,GPE,UrbanArea,City
LDC_ent_058,GPE,UrbanArea,Village (map to OWG=Town)
LDC_ent_059,LAW,n/a,n/a
LDC_ent_060,LAW,Referendum,Referendum
LDC_ent_061,LOC,n/a,n/a
LDC_ent_062,LOC,GeographicPoint,n/a
LDC_ent_063,LOC,GeographicPoint,Address
LDC_ent_064,LOC,Land,n/a
LDC_ent_065,LOC,Land,Continent
LDC_ent_066,LOC,Position,n/a
LDC_ent_067,LOC,Position,AirSpace
LDC_ent_068,LOC,Position,CrimeScene
LDC_ent_069,LOC,Position,Field
LDC_ent_070,LOC,Position,Neighborhood
LDC_ent_071,LOC,Position,Region
LDC_ent_072,MON,n/a,n/a
LDC_ent_073,MON,Assets,Assets
LDC_ent_074,MON,Cash,Cash
LDC_ent_075,ORG,n/a,n/a
LDC_ent_076,ORG,Association,n/a
LDC_ent_077,ORG,Association,Club
LDC_ent_078,ORG,Association,Team
LDC_ent_079,ORG,CommercialOrganization,n/a
LDC_ent_080,ORG,CommercialOrganization,BroadcastingCompany
LDC_ent_081,ORG,CommercialOrganization,Corporation
LDC_ent_082,ORG,CommercialOrganization,Manufacturer
LDC_ent_083,ORG,CommercialOrganization,NewsAgency
LDC_ent_084,ORG,CriminalOrganization,CriminalOrganization
LDC_ent_085,ORG,Government,n/a
LDC_ent_086,ORG,Government,Agency
LDC_ent_087,ORG,Government,Council
LDC_ent_088,ORG,Government,FireDepartment
LDC_ent_089,ORG,Government,LawEnforcementAgency
LDC_ent_090,ORG,Government,LegislativeBody
LDC_ent_091,ORG,Government,ProsecutorOffice
LDC_ent_092,ORG,Government,Railway
LDC_ent_093,ORG,International,n/a
LDC_ent_094,ORG,International,Commission
LDC_ent_095,ORG,International,MonitoringGroup
LDC_ent_096,ORG,MilitaryOrganization,n/a
LDC_ent_097,ORG,MilitaryOrganization,GovernmentArmedForces
LDC_ent_098,ORG,MilitaryOrganization,Intelligence
LDC_ent_099,ORG,MilitaryOrganization,NonGovernmentMilitia
LDC_ent_100,ORG,PoliticalOrganization,n/a
LDC_ent_101,ORG,PoliticalOrganization,Court
LDC_ent_102,ORG,PoliticalOrganization,Party
LDC_ent_103,PER,n/a,n/a
LDC_ent_104,PER,Combatant,n/a
LDC_ent_105,PER,Combatant,Mercenary
LDC_ent_106,PER,Combatant,Sniper
LDC_ent_107,PER,Fan,n/a
LDC_ent_108,PER,Fan,SportsFan
LDC_ent_109,PER,MilitaryPersonnel (map to OWG = Serviceman),n/a
LDC_ent_110,PER,MilitaryPersonnel (map to OWG = Serviceman),MilitaryOfficer
LDC_ent_111,PER,Police,n/a
LDC_ent_112,PER,Police,ChiefOfPolice
LDC_ent_113,PER,Politician,n/a
LDC_ent_114,PER,Politician,Governor
LDC_ent_115,PER,Politician,HeadOfGovernment (map to OWG = Ruler)
LDC_ent_116,PER,Politician,Mayor
LDC_ent_117,PER,ProfessionalPosition,n/a
LDC_ent_118,PER,ProfessionalPosition,Ambassador
LDC_ent_119,PER,ProfessionalPosition,Firefighter
LDC_ent_120,PER,ProfessionalPosition,Journalist
LDC_ent_121,PER,ProfessionalPosition,Minister
LDC_ent_122,PER,ProfessionalPosition,Paramedic
LDC_ent_123,PER,ProfessionalPosition,Scientist
LDC_ent_124,PER,ProfessionalPosition,Spokesperson
LDC_ent_125,PER,ProfessionalPosition,Spy
LDC_ent_126,PER,Protester,n/a
LDC_ent_127,PER,Protester,ProtestLeader
LDC_ent_128,RES,n/a,n/a
LDC_ent_129,RES,NumberPercentageVotes,NumberPercentageVotes
LDC_ent_130,RES,TurnoutVoters,TurnoutVoters
LDC_ent_131,SID,n/a,n/a
LDC_ent_132,SID,Cultural,Cultural
LDC_ent_133,SID,Ideological,Ideological
LDC_ent_134,SID,Political,Opposition
LDC_ent_135,SID,Religious,Religious
LDC_ent_136,SID,Sports,Sports
LDC_ent_137,TTL,n/a,n/a
LDC_ent_138,VAL,n/a,n/a
LDC_ent_139,VAL,Number,Number
LDC_ent_140,VEH,n/a,n/a
LDC_ent_141,VEH,Aircraft,n/a
LDC_ent_142,VEH,Aircraft,Airplane
LDC_ent_143,VEH,Aircraft,CargoAircraft
LDC_ent_144,VEH,Aircraft,Helicopter
LDC_ent_145,VEH,MilitaryVehicle,n/a
LDC_ent_146,VEH,MilitaryVehicle,FighterAircraft
LDC_ent_147,VEH,MilitaryVehicle,MilitaryBoat
LDC_ent_148,VEH,MilitaryVehicle,MilitaryTransportAircraft
LDC_ent_149,VEH,MilitaryVehicle,Tank
LDC_ent_150,VEH,Rocket,Rocket
LDC_ent_151,VEH,Watercraft,n/a
LDC_ent_152,VEH,Watercraft,Boat
LDC_ent_153,VEH,Watercraft,Yacht
LDC_ent_154,VEH,WheeledVehicle,n/a
LDC_ent_155,VEH,WheeledVehicle,Bus
LDC_ent_156,VEH,WheeledVehicle,Car
LDC_ent_157,VEH,WheeledVehicle,FireApparatus
LDC_ent_158,VEH,WheeledVehicle,Train
LDC_ent_159,VEH,WheeledVehicle,Truck
LDC_ent_160,WEA,n/a,n/a
LDC_ent_161,WEA,Bomb,n/a
LDC_ent_162,WEA,Bomb,Grenade
LDC_ent_163,WEA,Bomb,MolotovCocktail
LDC_ent_164,WEA,Bullets,n/a
LDC_ent_165,WEA,Bullets,Ammunition
LDC_ent_166,WEA,Bullets,LiveRounds
LDC_ent_167,WEA,Bullets,RubberBullets
LDC_ent_168,WEA,Cannon,Cannon
LDC_ent_169,WEA,Club,n/a
LDC_ent_170,WEA,Club,Bat
LDC_ent_171,WEA,DaggerKnifeSword,n/a
LDC_ent_172,WEA,DaggerKnifeSword,Hatchet
LDC_ent_173,WEA,Gas,n/a
LDC_ent_174,WEA,Gas,PoisonGas
LDC_ent_175,WEA,Gas,TearGas
LDC_ent_176,WEA,GrenadeLauncher,GrenadeLauncher
LDC_ent_177,WEA,Gun,n/a
LDC_ent_178,WEA,Gun,Artillery
LDC_ent_179,WEA,Gun,Firearm
LDC_ent_180,WEA,MissileSystem,n/a
LDC_ent_181,WEA,MissileSystem,AirToAirMissile
LDC_ent_182,WEA,MissileSystem,AntiAircraftMissle
LDC_ent_183,WEA,MissileSystem,MissileLauncher
LDC_ent_184,WEA,MissileSystem,Missile
LDC_ent_185,WEA,MissileSystem,SurfaceToAirMissile
LDC_ent_186,WEA,ThrownProjectile,n/a
LDC_ent_187,WEA,ThrownProjectile,Rock
LDC_evt_001,ArtifactExistence,DamageDestroy,n/a
LDC_evt_002,ArtifactExistence,DamageDestroy,Damage
LDC_evt_003,ArtifactExistence,DamageDestroy,Destroy
LDC_evt_004,Conflict,Attack,n/a
LDC_evt_005,Conflict,Attack,AirstrikeMissileStrike
LDC_evt_006,Conflict,Attack,BiologicalChemicalPoisonAttack
LDC_evt_007,Conflict,Attack,Bombing
LDC_evt_008,Conflict,Attack,FirearmAttack
LDC_evt_009,Conflict,Attack,Hanging
LDC_evt_010,Conflict,Attack,Invade
LDC_evt_011,Conflict,Attack,SelfDirectedBattle
LDC_evt_012,Conflict,Attack,SetFire
LDC_evt_013,Conflict,Attack,Stabbing
LDC_evt_014,Conflict,Attack,StealRobHijack
LDC_evt_015,Conflict,Attack,Strangling
LDC_evt_016,Conflict,Demonstrate,n/a
LDC_evt_017,Conflict,Demonstrate,MarchProtestPoliticalGathering
LDC_evt_018,Conflict,Yield,n/a
LDC_evt_019,Conflict,Yield,Retreat
LDC_evt_020,Conflict,Yield,Surrender
LDC_evt_021,Contact,Collaborate,n/a
LDC_evt_022,Contact,Collaborate,Correspondence
LDC_evt_023,Contact,Collaborate,Meet
LDC_evt_024,Contact,CommandOrder,n/a
LDC_evt_025,Contact,CommandOrder,Broadcast
LDC_evt_026,Contact,CommandOrder,Correspondence
LDC_evt_027,Contact,CommandOrder,Meet
LDC_evt_028,Contact,CommitmentPromiseExpressIntent,n/a
LDC_evt_029,Contact,CommitmentPromiseExpressIntent,Broadcast
LDC_evt_030,Contact,CommitmentPromiseExpressIntent,Correspondence
LDC_evt_031,Contact,CommitmentPromiseExpressIntent,Meet
LDC_evt_032,Contact,Discussion,n/a
LDC_evt_033,Contact,Discussion,Correspondence
LDC_evt_034,Contact,Discussion,Meet
LDC_evt_035,Contact,FuneralVigil,n/a
LDC_evt_036,Contact,FuneralVigil,Meet
LDC_evt_037,Contact,MediaStatement,n/a
LDC_evt_038,Contact,MediaStatement,Broadcast
LDC_evt_039,Contact,Negotiate,n/a
LDC_evt_040,Contact,Negotiate,Correspondence
LDC_evt_041,Contact,Negotiate,Meet
LDC_evt_042,Contact,Prevarication,n/a
LDC_evt_043,Contact,Prevarication,Broadcast
LDC_evt_044,Contact,Prevarication,Correspondence
LDC_evt_045,Contact,Prevarication,Meet
LDC_evt_046,Contact,PublicStatementInPerson,n/a
LDC_evt_047,Contact,PublicStatementInPerson,Broadcast
LDC_evt_048,Contact,RequestAdvise,n/a
LDC_evt_049,Contact,RequestAdvise,Broadcast
LDC_evt_050,Contact,RequestAdvise,Correspondence
LDC_evt_051,Contact,RequestAdvise,Meet
LDC_evt_052,Contact,ThreatenCoerce,n/a
LDC_evt_053,Contact,ThreatenCoerce,Broadcast
LDC_evt_054,Contact,ThreatenCoerce,Correspondence
LDC_evt_055,Contact,ThreatenCoerce,Meet
LDC_evt_057,Disaster,AccidentCrash,AccidentCrash
LDC_evt_059,Disaster,FireExplosion,FireExplosion
LDC_evt_060,Government,Agreements,n/a
LDC_evt_061,Government,Agreements,AcceptAgreementContractCeasefire
LDC_evt_062,Government,Agreements,RejectNullifyAgreementContractCeasefire
LDC_evt_063,Government,Agreements,ViolateAgreement
LDC_evt_064,Government,Formation,n/a
LDC_evt_065,Government,Formation,MergeGPE
LDC_evt_066,Government,Formation,StartGPE
LDC_evt_068,Government,Legislate,Legislate
LDC_evt_070,Government,Spy,Spy
LDC_evt_071,Government,Vote,n/a
LDC_evt_072,Government,Vote,CastVote
LDC_evt_073,Government,Vote,ViolationsPreventVote
LDC_evt_074,Inspection,SensoryObserve,n/a
LDC_evt_075,Inspection,SensoryObserve,InspectPeopleOrganization
LDC_evt_076,Inspection,SensoryObserve,MonitorElection
LDC_evt_077,Inspection,SensoryObserve,PhysicalInvestigateInspect
LDC_evt_079,Justice,ArrestJailDetain,ArrestJailDetain
LDC_evt_080,Justice,InitiateJudicialProcess,n/a
LDC_evt_081,Justice,InitiateJudicialProcess,ChargeIndict
LDC_evt_082,Justice,InitiateJudicialProcess,TrialHearing
LDC_evt_083,Justice,Investigate,n/a
LDC_evt_084,Justice,Investigate,InvestigateCrime
LDC_evt_085,Justice,JudicialConsequences,n/a
LDC_evt_086,Justice,JudicialConsequences,Convict
LDC_evt_087,Justice,JudicialConsequences,Execute
LDC_evt_088,Justice,JudicialConsequences,Extradite
LDC_evt_089,Life,Die,n/a
LDC_evt_090,Life,Die,DeathCausedByViolentEvents
LDC_evt_091,Life,Die,NonviolentDeath
LDC_evt_092,Life,Injure,n/a
LDC_evt_093,Life,Injure,IllnessDegradationHungerThirst
LDC_evt_094,Life,Injure,IllnessDegradationPhysical
LDC_evt_095,Life,Injure,InjuryCausedByViolentEvents
LDC_evt_096,Manufacture,Artifact,n/a
LDC_evt_097,Manufacture,Artifact,Build
LDC_evt_098,Manufacture,Artifact,CreateIntellectualProperty
LDC_evt_099,Manufacture,Artifact,CreateManufacture
LDC_evt_100,Movement,TransportArtifact,n/a
LDC_evt_101,Movement,TransportArtifact,BringCarryUnload
LDC_evt_102,Movement,TransportArtifact,DisperseSeparate
LDC_evt_103,Movement,TransportArtifact,Fall
LDC_evt_104,Movement,TransportArtifact,GrantEntry
LDC_evt_105,Movement,TransportArtifact,Hide
LDC_evt_106,Movement,TransportArtifact,NonviolentThrowLaunch
LDC_evt_107,Movement,TransportArtifact,PreventEntry
LDC_evt_108,Movement,TransportArtifact,PreventExit
LDC_evt_109,Movement,TransportArtifact,ReceiveImport
LDC_evt_110,Movement,TransportArtifact,SendSupplyExport
LDC_evt_111,Movement,TransportArtifact,SmuggleExtract
LDC_evt_112,Movement,TransportPerson,n/a
LDC_evt_113,Movement,TransportPerson,BringCarryUnload
LDC_evt_114,Movement,TransportPerson,DisperseSeparate
LDC_evt_115,Movement,TransportPerson,EvacuationRescue
LDC_evt_116,Movement,TransportPerson,Fall
LDC_evt_117,Movement,TransportPerson,GrantEntryAsylum
LDC_evt_118,Movement,TransportPerson,Hide
LDC_evt_119,Movement,TransportPerson,PreventEntry
LDC_evt_120,Movement,TransportPerson,PreventExit
LDC_evt_121,Movement,TransportPerson,SelfMotion
LDC_evt_122,Movement,TransportPerson,SmuggleExtract
LDC_evt_123,Personnel,Elect,n/a
LDC_evt_124,Personnel,Elect,WinElection
LDC_evt_125,Personnel,EndPosition,n/a
LDC_evt_126,Personnel,EndPosition,FiringLayoff
LDC_evt_127,Personnel,EndPosition,QuitRetire
LDC_evt_128,Personnel,StartPosition,n/a
LDC_evt_129,Personnel,StartPosition,Hiring
LDC_evt_130,Transaction,Transaction,n/a
LDC_evt_131,Transaction,Transaction,EmbargoSanction
LDC_evt_132,Transaction,Transaction,GiftGrantProvideAid
LDC_evt_133,Transaction,TransferMoney,n/a
LDC_evt_134,Transaction,TransferMoney,BorrowLend
LDC_evt_135,Transaction,TransferMoney,EmbargoSanction
LDC_evt_136,Transaction,TransferMoney,GiftGrantProvideAid
LDC_evt_137,Transaction,TransferMoney,PayForService
LDC_evt_138,Transaction,TransferMoney,Purchase
LDC_evt_139,Transaction,TransferOwnership,n/a
LDC_evt_140,Transaction,TransferOwnership,BorrowLend
LDC_evt_141,Transaction,TransferOwnership,EmbargoSanction
LDC_evt_142,Transaction,TransferOwnership,GiftGrantProvideAid
LDC_evt_143,Transaction,TransferOwnership,Purchase
LDC_evt_144,Transaction,Transaction,TransferControl
